P,N,E,N,N
2275,2195927.137,6520875.637,0,Standard Array Pier
2276,2195862.592,6520875.637,0,Standard Array Pier
2277,2195795.095,6520875.637,0,Standard Array Pier
2278,2196028.382,6520875.637,0,Standard Array Pier
2279,2195994.634,6520875.637,0,Standard Array Pier
2280,2195960.885,6520875.637,0,Standard Array Pier
2281,2195828.844,6520875.637,0,Standard Array Pier
2282,2197085.144,6520875.637,0,Standard Array Pier
2283,2197020.599,6520875.637,0,Standard Array Pier
2284,2196953.103,6520875.637,0,Standard Array Pier
2285,2197186.39,6520875.637,0,Standard Array Pier
2286,2197152.641,6520875.637,0,Standard Array Pier
2287,2197118.893,6520875.637,0,Standard Array Pier
2288,2195829.367,6520895.168,0,Standard Array Pier
2289,2197186.913,6520895.168,0,Standard Array Pier
2290,2197153.165,6520895.168,0,Standard Array Pier
2291,2195927.66,6520895.168,0,Standard Array Pier
2292,2195863.115,6520895.168,0,Standard Array Pier
2293,2195795.619,6520895.168,0,Standard Array Pier
2294,2197119.416,6520895.168,0,Standard Array Pier
2295,2196987.374,6520895.168,0,Standard Array Pier
2296,2196924.015,6520895.168,0,Standard Array Pier
2297,2196057.993,6520875.637,0,Standard Array Pier
2298,2197085.668,6520895.168,0,Standard Array Pier
2299,2197021.123,6520895.168,0,Standard Array Pier
2300,2196953.626,6520895.168,0,Standard Array Pier
2301,2196986.328,6520856.107,0,Standard Array Pier
2302,2196922.968,6520856.107,0,Standard Array Pier
2303,2196056.947,6520836.576,0,Standard Array Pier
2304,2197084.621,6520856.107,0,Standard Array Pier
2305,2197020.076,6520856.107,0,Standard Array Pier
2306,2196952.579,6520856.107,0,Standard Array Pier
2307,2196027.335,6520836.576,0,Standard Array Pier
2308,2195861.545,6520836.576,0,Standard Array Pier
2309,2195794.049,6520836.576,0,Standard Array Pier
2310,2195827.797,6520836.576,0,Standard Array Pier
2311,2195993.587,6520836.576,0,Standard Array Pier
2312,2195959.839,6520836.576,0,Standard Array Pier
2313,2195926.09,6520836.576,0,Standard Array Pier
2314,2196027.859,6520856.107,0,Standard Array Pier
2315,2195994.11,6520856.107,0,Standard Array Pier
2316,2195960.362,6520856.107,0,Standard Array Pier
2317,2196986.851,6520875.637,0,Standard Array Pier
2318,2196923.491,6520875.637,0,Standard Array Pier
2319,2196057.47,6520856.107,0,Standard Array Pier
2320,2195926.614,6520856.107,0,Standard Array Pier
2321,2197185.866,6520856.107,0,Standard Array Pier
2322,2197152.118,6520856.107,0,Standard Array Pier
2323,2197118.369,6520856.107,0,Standard Array Pier
2324,2195862.069,6520856.107,0,Standard Array Pier
2325,2195794.572,6520856.107,0,Standard Array Pier
2326,2195828.32,6520856.107,0,Standard Array Pier
2327,2196059.563,6520934.229,0,Standard Array Pier
2328,2196029.952,6520934.229,0,Standard Array Pier
2329,2195996.204,6520934.229,0,Standard Array Pier
2330,2196955.196,6520953.76,0,Standard Array Pier
2331,2196988.944,6520953.76,0,Standard Array Pier
2332,2196925.585,6520953.76,0,Standard Array Pier
2333,2195962.455,6520934.229,0,Standard Array Pier
2334,2195830.414,6520934.229,0,Standard Array Pier
2335,2197187.96,6520934.229,0,Standard Array Pier
